rsi,currentADX,prevADX,rvol,atrPercentage,upperWick,lowerWick,bodySize,isWhipsaw,directionIntent,target_win
39.1489,33.7844,34.6646,0.6170,1.1173,0.4600,0.0400,0.7300,0,-1,0
60.9862,17.9577,16.8394,1.9939,0.5068,0.2700,0.0900,0.1700,0,1,0
38.7311,22.5882,21.1886,2.2469,0.2976,0.0700,0.0200,0.4800,1,-1,0
36.1823,31.7411,30.2262,0.4509,0.3641,0.2900,0.0900,0.1000,0,-1,0
37.6503,30.5646,29.6366,0.7790,0.3681,0.2100,0.0600,0.2800,1,-1,0
45.8050,38.1778,37.9962,0.8382,0.4058,0.2300,0.2200,0.3400,1,-1,0
53.7975,33.8597,36.1400,0.9891,0.3695,0.4000,0.0200,0.0600,0,-1,1
32.7622,25.2590,23.2443,2.5298,0.3940,0.1900,0.5000,0.4700,0,-1,1
23.9323,34.0446,32.0953,5.4966,0.4903,0.2700,0.3000,0.9500,0,-1,0
39.0690,36.3410,37.0696,0.8548,0.5177,0.2700,0.3500,0.1000,0,-1,0
52.2309,26.9970,28.9002,0.3419,0.5557,0.1200,0.2300,0.1400,0,-1,0
45.6020,20.8526,21.2172,2.1615,0.6495,0.0000,1.0800,0.4700,1,-1,0
52.9528,18.9172,19.3710,1.0789,0.6593,0.8300,0.0000,0.0900,0,-1,0
66.0241,18.4220,17.3131,1.7714,0.7593,0.3800,0.4500,1.4400,0,1,0
49.6202,19.1632,20.4441,0.5731,0.8326,0.0000,0.1500,1.0200,1,1,0
36.9438,21.0162,20.2938,1.3030,0.7330,0.0000,0.4800,1.0900,0,-1,0
26.5775,24.4336,22.2244,3.7204,0.9232,0.5000,0.9400,2.3700,0,-1,0
43.9791,31.7803,33.0779,0.7488,1.0823,0.6000,0.1600,0.3700,0,-1,0
65.2058,16.8426,15.8620,0.8477,0.8013,0.7400,0.3200,0.0800,0,1,0
42.9083,18.7939,19.4899,1.3597,0.5794,0.3100,0.1800,0.5800,0,1,0
50.5167,17.5448,18.6886,1.5939,0.7364,0.0600,0.1600,0.4000,0,1,1
71.5651,28.8902,27.2633,3.9393,0.5174,0.1400,0.1000,1.3500,0,1,0
50.8700,28.4761,29.7579,0.7280,0.6082,0.3900,0.1600,0.3200,1,1,0
36.1481,20.6459,19.5724,1.6723,0.4932,0.1100,0.3800,0.3600,0,-1,0
61.4698,16.9266,16.6670,1.3956,0.4076,0.2000,0.1100,0.3300,0,1,0
32.7231,16.9519,14.9311,3.6721,0.5461,0.0000,0.4100,1.7700,0,-1,0
43.7113,37.6169,39.8143,1.7143,0.6614,0.3900,0.2700,0.3100,1,-1,0
55.9809,29.4405,30.6025,0.6971,0.6021,0.2000,0.0600,0.9600,0,-1,1
31.0975,24.6672,23.0645,2.1982,0.5220,0.1700,0.3600,0.1100,0,-1,0
39.9651,39.1077,39.0337,0.5320,1.0590,0.1800,0.6200,0.0100,0,-1,0
62.6723,24.0607,24.3709,3.4373,0.6152,0.0800,0.0800,1.3900,0,1,0
70.4686,25.0594,23.7952,5.0258,0.6822,0.1900,0.1400,1.6100,1,1,0
45.4192,21.9931,23.1663,0.3246,0.6601,0.1800,0.1600,0.2700,0,1,0
61.7234,14.6489,13.0645,2.3531,0.7197,0.4700,0.6600,1.1200,0,1,0
68.7016,18.8446,16.1201,3.2048,0.8823,0.1600,0.0800,2.7700,0,1,0
40.3115,17.6384,18.6436,2.1309,0.9329,0.0500,0.0600,1.6100,1,1,0
32.6422,22.8834,21.7044,1.4170,0.6746,0.0100,0.4300,0.9100,1,-1,0
56.3865,16.0671,15.9507,4.4173,0.5302,0.4000,0.0300,0.9400,1,1,0
31.3875,25.1292,22.1470,8.9835,0.5733,0.1600,1.1100,1.3300,0,-1,0
62.2633,32.8185,34.1419,0.6616,0.6610,0.2800,0.0700,1.0600,0,1,0
69.2839,26.9182,24.9029,4.4223,0.6931,1.0300,0.3800,2.0700,0,1,0
58.1206,31.8593,33.7030,1.5340,0.9925,0.7000,1.0700,1.7600,0,1,0
35.7697,26.5579,26.6258,1.9630,1.3702,0.0900,0.9500,1.1100,0,-1,1
25.3628,42.3931,40.6346,4.1062,1.2337,0.0000,0.6800,3.3200,0,-1,0
52.8860,31.1765,33.3244,0.6138,0.5289,0.2000,0.2400,0.4100,0,-1,0
60.4030,15.4188,14.5050,0.5472,0.3686,0.0300,0.1700,0.5500,1,1,0
62.3803,36.5768,37.2500,0.9396,0.4831,0.0000,0.4600,0.1800,0,1,0
53.6065,33.0390,34.7753,2.2446,0.4957,0.1500,0.3900,0.3400,0,1,0
37.9773,25.5585,25.2858,1.8250,0.5567,0.3600,0.5100,0.0200,0,-1,0
59.2564,20.3477,20.0291,0.7695,0.4893,0.4400,0.0000,0.0900,0,1,0
42.1282,16.7308,15.8957,0.8155,0.4326,0.1700,0.4300,0.0001,0,-1,0
55.5536,17.2313,18.3493,1.1603,0.3960,0.1500,0.0300,0.2600,0,-1,0
59.5412,16.1255,14.9474,0.6579,0.3164,0.2700,0.0400,0.2900,0,1,0
