directionIntent,rsi,rvol,atrPercentage,prevADX,bodySize,target_win
1,54.8775,0.7923,0.5201,27.1457,0.7000,0
1,35.0317,1.3212,0.6382,23.6633,2.0700,1
1,74.1675,2.6016,0.3330,18.9357,0.8400,0
1,72.5809,2.9530,0.4236,28.6811,0.5200,1
1,76.8588,4.1013,0.3437,35.9389,1.5500,0
1,65.2806,2.6843,0.3698,44.4155,0.0400,0
1,70.0426,1.6261,0.3039,47.1058,0.1200,0
1,68.0195,1.8311,0.4483,53.8832,0.3500,0
1,47.5126,1.1297,0.4626,49.9594,0.5800,0
1,44.3832,1.1258,0.3300,26.9662,0.5700,1
1,72.8704,1.8861,0.2089,36.3346,0.5800,0
1,60.3993,0.8426,0.2537,44.0661,0.4800,1
1,73.0008,1.5394,0.2294,38.6832,0.2000,0
1,84.2406,2.8976,0.2782,43.3538,0.9300,0
1,64.9663,1.6073,0.3744,61.9437,0.3100,0
-1,45.4626,4.7642,0.2583,18.8516,0.0700,0
1,62.8568,0.4403,0.1528,12.7209,0.5100,0
1,56.4449,0.6518,0.1706,13.4839,0.3500,0
1,59.6422,2.9048,0.2257,15.3469,0.1900,0
1,62.7406,2.0206,0.2893,19.5488,0.1200,1
1,80.2099,2.2432,0.3835,32.1382,0.6900,0
-1,29.8958,1.8437,0.2495,24.2491,0.7500,0
-1,44.6550,0.6117,0.2677,29.9093,0.4700,0
-1,29.2419,3.6967,0.3496,31.9868,1.0800,0
-1,36.8602,1.2849,0.4598,38.6448,0.7300,0
-1,49.7434,1.3864,0.4795,32.7365,0.3300,0
1,66.9761,1.0181,0.1916,19.8321,0.6800,0
1,55.2981,0.8116,0.2231,24.0710,0.2600,0
1,39.5082,0.8218,0.3006,18.8059,0.5200,0
-1,32.8079,2.1567,0.3790,18.1818,1.0000,0
-1,52.0240,0.7002,0.2797,21.5315,0.2900,0
1,58.1134,0.2657,0.2552,22.2568,0.1200,0
-1,34.4101,7.3834,0.1762,16.1918,0.6700,1
-1,24.7490,1.7106,0.2298,20.2183,0.7400,0
-1,40.4529,0.7499,0.2495,24.6914,0.8200,0
-1,43.2443,0.5706,0.3995,30.3857,0.3500,0
1,61.8084,0.7926,0.2346,14.5387,0.3400,0
-1,37.9215,1.8574,0.2277,13.2796,0.3700,0
-1,58.5617,1.6145,0.2077,15.7210,0.6700,0
1,62.8307,1.4840,0.1705,12.1748,0.1500,0
1,75.3724,1.7237,0.2151,22.9234,0.4400,0
1,57.7568,2.4828,0.2232,27.9698,0.6500,0
1,61.4612,1.3612,0.2836,32.6769,0.3200,0
1,57.6678,0.5074,0.3040,24.6352,0.2400,0
1,45.7320,1.2841,0.3455,23.5916,0.7500,1
1,67.4916,1.5260,0.3229,24.1934,0.1100,0
1,46.6970,0.4199,0.3118,27.7979,0.1500,0
-1,35.3698,1.1390,0.3399,18.3759,0.3200,0
-1,45.8521,1.2962,0.3985,19.4378,0.7300,0
1,62.8659,1.4706,0.1990,23.4511,0.2000,1
1,70.2877,1.2413,0.2425,27.1840,0.3700,0
1,59.9905,0.3881,0.2640,32.4936,0.4300,0
1,40.0114,2.8180,0.2566,29.2425,0.6700,0
-1,38.7836,1.1299,0.2479,25.4120,0.2400,0
1,62.8345,1.3353,0.2404,17.4022,0.5300,0
1,43.6210,1.2781,0.2551,18.0754,0.2300,0
-1,46.9525,2.5689,0.2742,20.1980,0.3500,0
1,65.2437,1.0033,0.3036,21.5460,0.5600,0
-1,41.4099,0.3161,0.2885,16.1949,0.1500,0
-1,54.5614,0.4831,0.2909,17.6015,0.2100,0
-1,53.6793,3.8555,0.3563,21.0474,0.3700,0
1,61.8152,0.8899,0.4095,16.3451,0.9600,0
-1,41.2107,3.2322,0.4949,16.6852,1.5800,0
1,61.7062,2.3053,0.5133,17.2216,1.3900,0
1,49.5569,0.6492,0.3248,17.5585,0.0200,0
-1,34.2931,2.1434,0.3350,14.0688,0.5800,0
-1,49.8423,4.0829,0.3970,17.3185,1.1600,0
1,63.3191,0.9939,0.2914,8.6792,0.3900,0
1,52.2997,1.1274,0.2853,9.0472,0.0600,0
-1,38.6675,0.3266,0.2338,12.9220,0.0400,0
-1,51.5920,0.6650,0.2356,15.7834,0.0001,0
1,64.8998,0.8692,0.1609,10.2834,0.2500,0
1,45.2197,0.4138,0.2188,21.5483,0.2200,0
-1,32.5035,1.7459,0.2298,21.2207,0.2200,1
-1,36.1057,0.7157,0.2266,23.8268,0.3800,1
-1,22.7999,8.9254,0.3759,29.9253,1.5400,0
-1,48.2537,0.8383,0.3410,45.3954,0.2000,0
1,60.8934,0.7525,0.3993,36.0840,0.0300,0
1,48.5391,0.4241,0.4233,20.4304,0.5200,0
-1,40.7832,1.4430,0.2052,18.5048,0.2300,1
-1,21.9216,7.5447,0.3032,26.5713,1.6600,0
-1,22.9138,5.1715,0.3814,34.1067,0.3400,0
-1,19.8021,5.9273,0.5409,44.2194,0.8300,0
-1,13.7129,5.2261,0.6850,50.2737,1.8400,0
1,66.8379,4.9987,0.2313,21.1087,0.5400,0
1,41.3747,2.1118,0.2770,28.9857,0.6700,0
-1,31.5461,5.2041,0.2008,17.0388,0.2500,0
